count,timestamp,y,y_target,z,z_target,vy,vy_target,vz,vz_target,roll,roll_target,pitch,yaw,thrust,joy_roll,joy_pitch,joy_throttle,joy_yaw,dt
175,6108671025000,0.07664559447762982,0.1,0.14000000059604645,0.12000000029802323,0.026070164072895988,0.03064525460889522,-0.06100986897945404,-0.06000000089406966,-0.4768536144782393,-4.295850890578486,-1.7042175193531637,89.96959998328154,0.4355291439369573,-0.09546335312396637,0.0,-0.1289417121260854,0.0,0.035947336
176,6108739040000,0.07664559036671408,0.1,0.14999999105930328,0.12000000029802323,0.0012093039257784057,0.032909945182383896,-0.027393603697419167,-0.08999997228384017,-0.8661059551825729,-1.1344932397217038,-1.717681881688182,89.96427451705135,0.4066171870330413,-0.02521096088270453,0.0,-0.18676562593391743,0.0,0.043845314
177,6108773124000,0.07664556101227242,0.1,0.14999999105930328,0.12000000029802323,-0.014614573324131562,0.03503165848159138,-0.07164297252893448,-0.08999997228384017,-1.399121355108899,-0.8089338475001769,-1.661458610132823,90.06157003682065,0.439232254657996,-0.017976307722226154,0.0,-0.12153549068400804,0.0,0.052569975000000005
178,6108844210000,0.0766456046214536,0.1,0.14999999105930328,0.12000000029802323,0.03813960158740472,0.03503165848159138,-0.043511077761650085,-0.08999997228384017,-0.7975429242658095,-1.0536864260782375,-1.4264396464725755,89.99256890474963,0.41795287739874903,-0.023415253912849723,0.0,-0.16409424520250193,0.0,0.052197129
179,6108879169000,0.07664560525432441,0.1,0.14999999105930328,0.12000000029802323,0.011507728332091438,0.03503165848159138,-0.04360925033688545,-0.08999997228384017,-0.9828105683812438,-0.5986880949628469,-1.2793834663915533,90.00100410296909,0.41984138378463787,-0.013304179888063265,0.0,-0.16031723243072427,0.0,0.049870955
180,6108914109000,0.07664557341493089,0.1,0.14000000059604645,0.12000000029802323,0.03412493581667318,0.03503165848159138,-0.09101033955812454,-0.06000000089406966,-1.7192434848273077,-0.5721850476466078,-1.4057749953299525,89.94776559336164,0.46029128483442605,-0.012715223281035729,0.0,-0.0794174303311479,0.0,0.048274580000000004
181,6108984111000,0.07664557556039334,0.1,0.14000000059604645,0.12000000029802323,0.02496383528422035,0.03503165848159138,-0.051457084715366364,-0.06000000089406966,-2.1265428435539464,-1.970075586631542,-1.409097568209636,89.94955548893529,0.43078830953741437,-0.04377945748070093,0.0,-0.13842338092517126,0.0,0.07
182,6109052112000,0.07664541615348132,0.1,0.14000000059604645,0.12000000029802323,0.012196046230916791,0.03503165848159138,-0.07305023074150085,-0.06000000089406966,-1.6059732415582142,-0.34219372631124534,-1.5599446405019168,90.12727829180024,0.4475418863548012,-0.007604305029138786,0.0,-0.10491622729039762,0.0,0.03
183,6109086094000,0.0766455038172257,0.1,0.14000000059604645,0.12000000029802323,0.032262108491300956,0.03503165848159138,-0.08557574450969696,-0.06000000089406966,-1.5963336565917365,-1.188070334974645,-1.523578046854913,90.09322183616487,0.452390220994638,-0.026401562999436558,0.0,-0.09521955801072401,0.0,0.052460208
184,6109120047000,0.07664554790204073,0.1,0.14000000059604645,0.12000000029802323,0.06054584682763737,0.03503165848159138,-0.021493542939424515,-0.06000000089406966,-1.3907443288459498,-0.8204117484892418,-1.5664481202399494,89.9299006575366,0.4101899217764437,-0.018231372188649817,0.0,-0.1796201564471126,0.0,0.046816045
185,6109189621000,0.07664560133516134,0.1,0.14000000059604645,0.12000000029802323,0.025105400087612292,0.03503165848159138,-0.09442929923534393,-0.06000000089406966,-1.9093300454143085,-0.09171270250060776,-1.7493160880214453,90.01835024285727,0.46212723334345884,-0.0020380600555690615,0.0,-0.07574553331308231,0.0,0.056258779
186,6109223054000,0.07664559262687687,0.1,0.14000000059604645,0.12000000029802323,0.033870933834342885,0.03503165848159138,-0.08634413033723831,-0.06000000089406966,-1.7898506197941255,-0.5574332015640358,-1.8118991226088543,90.032904409252,0.45086728169711054,-0.012387404479200795,0.0,-0.09826543660577891,0.0,0.048495464
187,6109292033000,0.07664550115714942,0.1,0.14000000059604645,0.12000000029802323,0.028759525364036045,0.03503165848159138,-0.06206765025854111,-0.06000000089406966,-1.3030422396056143,-0.8936531099290692,-1.3852685773392195,89.90556389364349,0.4356106376743837,-0.01985895799842376,0.0,-0.12877872465123263,0.0,0.062356563000000004
